Feature,Importance,Importance_Percent
active_months_L5M,83.79832458496094,27.21254714948833
cnt_L3M_orders,45.766937255859375,14.862289241833626
cnt_L1M_orders,23.661319732666016,7.683742867573379
tenure_days,11.906289100646973,3.8664311623354606
avg_gap_L5M,11.703883171081543,3.8007021524905102
sum_L5M_items_log,10.785654067993164,3.5025177569720665
sum_L3M_value,10.560118675231934,3.429277718584774
order_velocity,9.40287971496582,3.0534776065247993
sum_L1M_value,8.704665184020996,2.826740426063272
std_L3M_value,7.709884166717529,2.5036966722548
recency_loyalty_score,7.650634765625,2.4844561071385525
std_L5M_value,7.258193492889404,2.3570152938452615
success_order_rate,6.917608737945557,2.2464142914002827
avg_L3M_value,6.8374223709106445,2.220374686139782
spend_velocity,6.713544845581055,2.1801468771055377
sum_L3M_items_log,6.604236602783203,2.1446502758823422
avg_L5M_skus,6.362482070922852,2.0661432576402023
avg_L5M_value,6.2660627365112305,2.03483218194992
last_order_intensity,6.1020612716674805,1.981574582627384
cancel_rate_L5M,5.977634429931641,1.9411683893750893
avg_L3M_skus,5.95236873626709,1.9329636444292155
avg_items_per_cat_L3M,5.736322402954102,1.8628050695308236
avg_items_per_cat_L5M,5.561497211456299,1.806032588814591
